,name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10,Marpole,0.05369273645706323,0.05882859233119594,0.05929139551699204,0.042379651040571786,0.04063878966169363,0.034782608695652174,0.0319966407726223,0.029464847848898214,0.025886301657226767,0.02934056761268781,0.027610545982976957,0.03333333333333333,0.032545716046846106,0.03438266557645135
11,Mount Pleasant,0.09942488311473376,0.11186158015426308,0.10441176470588236,0.0907897522760957,0.07992718848254178,0.0817259088519552,0.0667563078383295,0.06067407034786983,0.06534090909090909,0.061455739597993574,0.062056371028874645,0.07872613984769064,0.07445329288332701,0.07777272037627067
12,Oakridge,0.0540029590662502,0.05893782383419689,0.05590557460722546,0.048565815324165026,0.03497000315756236,0.034335104274046464,0.03855344909988848,0.04409058173961751,0.04236334405144695,0.04403567447045708,0.036999053329125904,0.04033140534625606,0.04228624535315985,0.04174980813507291
13,Renfrew-Collingwood,0.0499978504793431,0.05645860195734427,0.049046718090525396,0.04897207732433262,0.03580718582344334,0.03444307605338071,0.031632366510209814,0.033282181078980407,0.029465346534653464,0.0297006271447166,0.02669311753614079,0.03237607105129309,0.03179798924479776,0.033262177372404424
14,Riley Park,0.051812998859749146,0.054504751461988306,0.05226066263957532,0.0449690579876232,0.033698592453349226,0.0353556197551245,0.03261019125808375,0.031515207119592645,0.031153934388621244,0.03271517747300314,0.03579347481786506,0.03550402229113298,0.037227157077177164,0.04238528042562625
15,Shaughnessy,0.05785953177257525,0.06102604224879848,0.062310881990361985,0.03775280898876404,0.03760414321098852,0.030573104693140795,0.02701786118019444,0.02911191662890802,0.039841089670828604,0.03995878177238379,0.031762531762531764,0.0438126310883244,0.043616270867622854,0.049466192170818504
16,South Cambie,0.07518154634771465,0.06663824950269963,0.06407711936489935,0.04922206506364922,0.0396273637374861,0.03636860814875581,0.04357181280258203,0.03889917967716327,0.03567708333333333,0.038640475575084,0.03501795792714212,0.05538579067990833,0.05232558139534884,0.046925972396486826
17,Strathcona,0.15360314207650272,0.14998726763432646,0.141000759429584,0.12634228187919463,0.12206533544991227,0.1145781328007988,0.09961050799701665,0.09483327830967316,0.09075215782983971,0.09927341007429177,0.08984026595313387,0.11621164532495772,0.11991040716742661,0.14445768772348033
18,Sunset,0.05602413166988813,0.05291679948995856,0.04863919240586194,0.04717570252625603,0.03924722081146662,0.03099231502776687,0.029554452684994143,0.0292421974610566,0.02237531000275558,0.027028514807882858,0.02367075383515698,0.02243519332161687,0.0226562071424653,0.026986301369863012
19,Victoria-Fraserview,0.03929069393300204,0.044536838025439555,0.03984022229940952,0.031095890410958903,0.02281201274489865,0.020735471748758557,0.020660333488341193,0.01983030781373323,0.021393682839465973,0.01806309086774309,0.01779463243873979,0.019661740452090678,0.01906820674969349,0.01934653146628038
20,West End,0.11077844311377245,0.09456823553709526,0.07504141233066328,0.07448384201077199,0.06760032318879612,0.067247261626863,0.05349286163239651,0.04808728448275862,0.04344409519533004,0.04199946751863685,0.04578545741601614,0.05234524015952835,0.05524127882060512,0.06430084745762712
21,West Point Grey,0.04311826277144196,0.050606343283582086,0.04765220081998917,0.035257890685142415,0.02849200833912439,0.022459727385377944,0.028276237085372486,0.025790868006856787,0.024775302852676827,0.024204218227099384,0.021622878400372008,0.028170101103650536,0.02789946967950196,0.030616150019135095
